distribution_center_id,distribution_center_name,warehouse_type,region,city,country,manager_id,product_id,storage_type,inventory_units,storage_capacity_units,occupied_capacity_units,utilization_pct,inbound_shipments,outbound_shipments,orders_processed,avg_processing_time_hours,dock_doors,employees,operating_shift,status,record_date,on_time_dispatch_pct,damaged_units,stockout_flag,last_inventory_audit_date
DC0007,Distribution Center 07,Fulfillment Center,South,Bengaluru,India,MGR0045,P00062,Cold,1069,53152,28315,53.27,52,77,404,13.81,22,422,Night,Active,2025-06-28,90.77,18,No,2025-06-27
DC0010,Distribution Center 10,Cold Storage DC,Central,Nagpur,India,MGR0014,P00100,Hazardous,12330,126539,73938,58.43,8,68,271,10.8,22,445,Morning,Active,2025-06-28,74.98,34,No,2025-06-14
DC0019,Distribution Center 19,Cross-Dock Center,West,Surat,India,MGR0068,P00119,Ambient,20668,143453,37060,25.83,68,7,358,8.56,45,430,Evening,Maintenance,2025-06-28,99.19,40,No,2025-06-08
DC0024,Distribution Center 24,Regional DC,West,Mumbai,India,MGR0016,P00124,Ambient,15376,141884,113124,79.73,47,53,496,23.47,18,400,Night,Active,2025-06-28,95.02,5,No,2025-06-12
DC0026,Distribution Center 26,Cross-Dock Center,North,Chandigarh,India,MGR0044,P00038,Ambient,13922,132982,111364,83.74,15,15,338,12.97,8,386,Evening,Active,2025-06-28,77.77,11,No,2025-06-19
DC0027,Distribution Center 27,Fulfillment Center,South,Bengaluru,India,MGR0087,P00175,Ambient,14760,101401,37128,36.62,71,65,89,13.12,26,332,Evening,Maintenance,2025-06-28,88.03,13,No,2025-06-14
DC0011,Distribution Center 11,Fulfillment Center,North,Jaipur,India,MGR0071,P00188,Ambient,11504,44277,28752,64.94,65,35,137,2.09,8,77,Night,Maintenance,2025-06-29,97.53,8,No,2025-05-31
DC0014,Distribution Center 14,Regional DC,West,Ahmedabad,India,MGR0033,P00215,Hazardous,22208,88574,33477,37.8,77,7,186,20.96,48,312,Night,Temporarily Closed,2025-06-29,97.62,45,No,2025-06-04
DC0004,Distribution Center 04,Regional DC,West,Mumbai,India,MGR0038,P00026,Hazardous,24177,29522,19829,67.17,4,45,41,18.37,34,410,Evening,Maintenance,2025-06-30,73.95,34,No,2025-06-28
DC0014,Distribution Center 14,Regional DC,West,Ahmedabad,India,MGR0092,P00013,Cold,11395,112716,108330,96.11,47,33,130,18.81,24,350,Night,Active,2025-06-30,78.99,14,No,2025-06-27
DC0022,Distribution Center 22,Cold Storage DC,South,Chennai,India,MGR0068,P00227,Ambient,19292,117448,76953,65.52,41,73,365,23.58,28,400,Morning,Active,2025-06-30,90.59,22,No,2025-06-05
DC0030,Distribution Center 30,Cross-Dock Center,Central,Nagpur,India,MGR0096,P00050,Ambient,14819,29163,17517,60.07,46,93,344,13.89,8,55,Evening,Temporarily Closed,2025-06-30,82.59,29,No,2025-06-03
DC0008,Distribution Center 08,Cold Storage DC,East,Bhubaneswar,India,MGR0093,P00039,Hazardous,13731,122559,84837,69.22,9,49,499,2.6,50,333,Morning,Active,2025-07-01,78.71,25,No,2025-06-16
DC0016,Distribution Center 16,Regional DC,North,Lucknow,India,MGR0055,P00068,Ambient,18515,75692,43544,57.53,68,80,364,21.92,32,301,Evening,Maintenance,2025-07-01,91.26,25,No,2025-06-24
DC0018,Distribution Center 18,Regional DC,East,Patna,India,MGR0001,P00130,Frozen,13934,91062,69035,75.81,76,89,198,5.64,28,440,Night,Active,2025-07-01,96.42,2,No,2025-06-30
DC0020,Distribution Center 20,Cross-Dock Center,Central,Raipur,India,MGR0099,P00217,Cold,19356,36233,28264,78.01,64,34,109,23.36,15,37,Evening,Maintenance,2025-07-01,95.35,33,No,2025-06-07
DC0021,Distribution Center 21,Cold Storage DC,North,Delhi,India,MGR0086,P00057,Ambient,14572,140519,45969,32.71,6,4,442,10.96,49,252,Morning,Active,2025-07-01,78.28,36,No,2025-06-29
DC0023,Distribution Center 23,Cross-Dock Center,East,Kolkata,India,MGR0052,P00060,Ambient,16004,25300,20990,82.96,38,58,428,8.86,27,314,Evening,Active,2025-07-01,90.67,19,No,2025-06-08
DC0023,Distribution Center 23,Cold Storage DC,East,Kolkata,India,MGR0063,P00135,Hazardous,6325,82005,41409,50.5,9,57,494,17.81,4,198,Morning,Active,2025-07-01,88.0,25,No,2025-06-02
DC0024,Distribution Center 24,Cold Storage DC,West,Mumbai,India,MGR0057,P00113,Ambient,17839,101391,48948,48.28,1,28,31,5.47,36,212,Morning,Active,2025-07-01,90.99,14,No,2025-06-13
DC0027,Distribution Center 27,Regional DC,South,Bengaluru,India,MGR0084,P00074,Hazardous,10143,119054,96289,80.88,49,41,115,3.21,27,463,Morning,Active,2025-07-01,82.85,37,No,2025-06-09
DC0028,Distribution Center 28,Fulfillment Center,East,Bhubaneswar,India,MGR0076,P00218,Hazardous,4621,114078,42834,37.55,6,6,99,16.33,8,308,Night,Active,2025-07-01,74.07,20,No,2025-06-12
DC0006,Distribution Center 06,Cold Storage DC,North,Chandigarh,India,MGR0050,P00184,Ambient,12861,44541,25724,57.75,4,86,359,9.72,23,178,Morning,Active,2025-07-02,91.13,20,No,2025-06-28
DC0007,Distribution Center 07,Cross-Dock Center,South,Bengaluru,India,MGR0092,P00241,Cold,14553,140180,48356,34.5,56,52,380,14.38,40,81,Morning,Active,2025-07-02,97.05,7,No,2025-06-04
DC0011,Distribution Center 11,Regional DC,North,Jaipur,India,MGR0003,P00196,Hazardous,15465,110951,32283,29.1,76,72,340,13.1,12,305,Evening,Active,2025-07-02,80.59,15,No,2025-06-18
DC0016,Distribution Center 16,Cross-Dock Center,North,Lucknow,India,MGR0015,P00008,Cold,5646,23556,10309,43.76,72,88,216,10.82,28,212,Evening,Maintenance,2025-07-02,78.27,23,No,2025-07-02
DC0025,Distribution Center 25,Fulfillment Center,Central,Bhopal,India,MGR0035,P00091,Ambient,16043,69249,66774,96.43,34,34,91,3.81,34,35,Night,Active,2025-07-02,75.83,17,No,2025-06-09
DC0025,Distribution Center 25,Fulfillment Center,Central,Bhopal,India,MGR0090,P00207,Ambient,18209,47449,26165,55.14,31,45,356,17.45,27,347,Evening,Active,2025-07-02,90.38,8,No,2025-06-03
DC0027,Distribution Center 27,Cross-Dock Center,South,Bengaluru,India,MGR0061,P00216,Cold,19589,61269,54604,89.12,37,61,193,19.04,11,149,Evening,Active,2025-07-02,87.45,21,No,2025-06-24
DC0029,Distribution Center 29,Regional DC,West,Pune,India,MGR0043,P00028,Frozen,18665,73344,47108,64.23,38,94,24,20.15,38,358,Night,Active,2025-07-02,75.96,3,No,2025-06-07
DC0002,Distribution Center 02,Cross-Dock Center,South,Chennai,India,MGR0060,P00021,Ambient,5862,94258,56544,59.99,50,39,9,10.84,23,415,Evening,Temporarily Closed,2025-07-03,99.46,28,No,2025-06-25
DC0002,Distribution Center 02,Cross-Dock Center,South,Chennai,India,MGR0070,P00057,Ambient,17931,91411,46919,51.33,54,19,460,4.2,7,260,Evening,Temporarily Closed,2025-07-03,81.9,9,No,2025-06-13
DC0003,Distribution Center 03,Cold Storage DC,East,Kolkata,India,MGR0081,P00207,Ambient,4293,33937,9274,27.33,2,31,362,16.77,16,127,Morning,Maintenance,2025-07-03,85.6,36,No,2025-07-03
DC0008,Distribution Center 08,Cross-Dock Center,East,Bhubaneswar,India,MGR0030,P00041,Ambient,17674,102913,75482,73.35,45,62,29,16.8,24,223,Night,Active,2025-07-03,80.26,28,No,2025-06-03
DC0008,Distribution Center 08,Regional DC,East,Bhubaneswar,India,MGR0059,P00083,Ambient,15585,81687,76732,93.93,0,3,233,3.56,4,353,Night,Temporarily Closed,2025-07-03,89.77,38,No,2025-06-04
DC0009,Distribution Center 09,Regional DC,West,Pune,India,MGR0001,P00200,Ambient,3301,134641,43147,32.05,62,63,51,3.05,32,142,Night,Maintenance,2025-07-03,92.55,26,No,2025-06-12
DC0018,Distribution Center 18,Fulfillment Center,East,Patna,India,MGR0096,P00064,Ambient,7870,72845,45912,63.03,21,85,304,22.08,41,244,Evening,Active,2025-07-03,77.17,11,No,2025-06-20
DC0018,Distribution Center 18,Fulfillment Center,East,Patna,India,MGR0020,P00239,Frozen,5507,125909,97936,77.78,60,64,425,18.1,31,407,Night,Active,2025-07-03,88.74,15,No,2025-06-23
DC0020,Distribution Center 20,Cross-Dock Center,Central,Raipur,India,MGR0089,P00248,Cold,18492,125626,62411,49.68,64,30,84,14.05,26,338,Morning,Temporarily Closed,2025-07-03,94.92,48,No,2025-06-06
DC0025,Distribution Center 25,Fulfillment Center,Central,Bhopal,India,MGR0067,P00105,Ambient,22456,40629,39512,97.25,67,92,464,15.51,21,486,Morning,Temporarily Closed,2025-07-03,81.35,5,No,2025-07-01
DC0027,Distribution Center 27,Regional DC,South,Bengaluru,India,MGR0099,P00041,Frozen,21812,56597,15998,28.27,58,75,408,6.07,26,492,Night,Maintenance,2025-07-03,81.68,12,No,2025-06-29
DC0004,Distribution Center 04,Regional DC,West,Mumbai,India,MGR0090,P00058,Frozen,14048,60541,33456,55.26,62,53,327,5.08,25,290,Morning,Active,2025-07-04,83.65,0,No,2025-07-01
DC0009,Distribution Center 09,Fulfillment Center,West,Pune,India,MGR0046,P00077,Cold,13059,33957,30474,89.74,14,70,109,22.51,7,423,Morning,Temporarily Closed,2025-07-04,87.19,9,No,2025-06-28
DC0015,Distribution Center 15,Regional DC,Central,Indore,India,MGR0080,P00107,Hazardous,5651,46222,41024,88.75,66,86,475,16.27,27,475,Morning,Temporarily Closed,2025-07-04,93.25,44,No,2025-06-25
DC0020,Distribution Center 20,Cold Storage DC,Central,Raipur,India,MGR0071,P00141,Ambient,11419,134628,59634,44.3,9,90,96,6.36,8,490,Evening,Temporarily Closed,2025-07-04,82.37,42,No,2025-06-04
DC0022,Distribution Center 22,Fulfillment Center,South,Chennai,India,MGR0062,P00124,Frozen,8895,52915,27321,51.63,13,38,117,12.8,7,336,Night,Active,2025-07-04,75.93,9,No,2025-06-14
DC0023,Distribution Center 23,Cross-Dock Center,East,Kolkata,India,MGR0048,P00134,Ambient,2186,90021,73576,81.73,31,46,460,6.44,17,99,Evening,Maintenance,2025-07-04,99.75,31,No,2025-06-15
DC0024,Distribution Center 24,Regional DC,West,Mumbai,India,MGR0034,P00199,Ambient,2654,124296,95842,77.11,41,7,291,5.43,7,443,Evening,Active,2025-07-04,96.21,13,No,2025-07-04
DC0025,Distribution Center 25,Regional DC,Central,Bhopal,India,MGR0038,P00103,Cold,21448,122704,65724,53.56,65,53,440,15.71,36,313,Night,Maintenance,2025-07-04,94.85,43,No,2025-06-13
DC0030,Distribution Center 30,Fulfillment Center,Central,Nagpur,India,MGR0087,P00142,Ambient,7186,48314,46691,96.64,41,11,223,14.96,11,31,Morning,Maintenance,2025-07-04,85.06,47,No,2025-06-12
DC0030,Distribution Center 30,Fulfillment Center,Central,Nagpur,India,MGR0042,P00235,Ambient,19180,120068,68027,56.66,57,24,133,23.65,13,71,Evening,Active,2025-07-04,85.2,36,No,2025-06-10
DC0003,Distribution Center 03,Cross-Dock Center,East,Kolkata,India,MGR0046,P00076,Ambient,6005,55791,28488,51.06,33,76,58,21.84,49,315,Evening,Temporarily Closed,2025-07-05,72.8,7,No,2025-06-14
DC0006,Distribution Center 06,Fulfillment Center,North,Chandigarh,India,MGR0031,P00013,Cold,16928,32584,14108,43.3,37,22,242,9.02,24,125,Night,Active,2025-07-05,98.15,1,No,2025-06-13
DC0009,Distribution Center 09,Cross-Dock Center,West,Pune,India,MGR0057,P00167,Cold,5337,44035,39143,88.89,41,94,179,4.46,22,126,Morning,Active,2025-07-05,84.48,28,No,2025-06-12
DC0020,Distribution Center 20,Cold Storage DC,Central,Raipur,India,MGR0098,P00029,Cold,14498,58233,53205,91.37,72,72,206,16.55,50,495,Morning,Active,2025-07-05,87.2,10,No,2025-07-03
DC0022,Distribution Center 22,Fulfillment Center,South,Chennai,India,MGR0042,P00185,Ambient,20978,116532,64217,55.11,62,46,326,10.39,32,100,Night,Active,2025-07-05,74.75,42,No,2025-06-12
DC0023,Distribution Center 23,Cross-Dock Center,East,Kolkata,India,MGR0001,P00066,Hazardous,23367,28545,16409,57.48,18,98,144,7.88,46,131,Night,Maintenance,2025-07-05,94.7,42,No,2025-06-24
DC0024,Distribution Center 24,Cold Storage DC,West,Mumbai,India,MGR0062,P00046,Ambient,5454,31277,21806,69.72,58,20,89,7.39,41,94,Evening,Active,2025-07-05,77.69,4,No,2025-06-15
DC0024,Distribution Center 24,Fulfillment Center,West,Mumbai,India,MGR0026,P00079,Cold,12699,122577,111528,90.99,60,9,355,15.74,20,164,Night,Active,2025-07-05,74.84,22,No,2025-06-13
DC0006,Distribution Center 06,Fulfillment Center,North,Chandigarh,India,MGR0039,P00055,Ambient,9373,79658,38428,48.24,46,71,52,5.87,37,153,Evening,Active,2025-07-06,82.41,36,No,2025-06-17
DC0009,Distribution Center 09,Fulfillment Center,West,Pune,India,MGR0100,P00102,Ambient,17229,26326,8838,33.57,49,82,476,11.79,25,27,Night,Temporarily Closed,2025-07-06,79.21,40,No,2025-07-06
DC0009,Distribution Center 09,Fulfillment Center,West,Pune,India,MGR0030,P00185,Frozen,9784,120676,52237,43.29,72,25,250,12.58,44,417,Night,Active,2025-07-06,91.64,14,No,2025-06-06
DC0011,Distribution Center 11,Regional DC,North,Jaipur,India,MGR0022,P00021,Ambient,3504,105017,53748,51.18,42,36,458,13.38,46,480,Evening,Active,2025-07-06,82.04,0,No,2025-06-23
DC0011,Distribution Center 11,Cold Storage DC,North,Jaipur,India,MGR0096,P00188,Ambient,5676,54749,41237,75.32,53,17,183,20.27,11,119,Night,Active,2025-07-06,97.03,47,No,2025-06-21
DC0016,Distribution Center 16,Cold Storage DC,North,Lucknow,India,MGR0046,P00191,Ambient,10231,34808,31356,90.08,10,54,343,1.83,36,345,Evening,Active,2025-07-06,95.66,9,No,2025-06-23
DC0009,Distribution Center 09,Cross-Dock Center,West,Pune,India,MGR0058,P00179,Ambient,15093,107372,35305,32.88,6,32,391,16.39,32,484,Night,Active,2025-07-07,96.97,42,No,2025-06-17
DC0011,Distribution Center 11,Cross-Dock Center,North,Jaipur,India,MGR0076,P00181,Ambient,13078,93103,48499,52.09,63,6,275,4.99,11,407,Night,Active,2025-07-07,75.14,48,No,2025-06-19
DC0014,Distribution Center 14,Fulfillment Center,West,Ahmedabad,India,MGR0037,P00091,Cold,22341,23255,7794,33.52,28,44,421,8.45,21,478,Night,Active,2025-07-07,79.13,19,No,2025-06-28
DC0015,Distribution Center 15,Fulfillment Center,Central,Indore,India,MGR0084,P00219,Ambient,10281,109913,34094,31.02,78,61,427,18.36,33,125,Evening,Active,2025-07-07,78.63,46,No,2025-06-16
DC0016,Distribution Center 16,Regional DC,North,Lucknow,India,MGR0017,P00217,Ambient,5862,58497,55838,95.45,31,53,166,21.25,33,198,Night,Active,2025-07-07,83.21,20,No,2025-07-04
DC0017,Distribution Center 17,Cross-Dock Center,South,Kochi,India,MGR0016,P00021,Cold,3964,40491,27208,67.2,24,7,297,22.3,16,323,Evening,Maintenance,2025-07-07,94.02,34,No,2025-06-15
DC0017,Distribution Center 17,Cross-Dock Center,South,Kochi,India,MGR0006,P00226,Frozen,8907,112675,88012,78.11,61,92,18,3.33,15,152,Night,Active,2025-07-07,89.63,26,No,2025-06-09
DC0018,Distribution Center 18,Fulfillment Center,East,Patna,India,MGR0065,P00044,Ambient,13940,137898,130387,94.55,65,0,259,18.45,26,486,Evening,Active,2025-07-07,97.35,43,No,2025-06-26
DC0021,Distribution Center 21,Cross-Dock Center,North,Delhi,India,MGR0004,P00094,Ambient,13926,141165,70820,50.17,63,79,79,12.9,13,84,Evening,Active,2025-07-07,93.25,20,No,2025-06-26
DC0024,Distribution Center 24,Regional DC,West,Mumbai,India,MGR0036,P00190,Ambient,16668,92011,66152,71.9,4,1,307,12.52,9,498,Morning,Active,2025-07-07,87.58,6,No,2025-06-22
DC0028,Distribution Center 28,Cold Storage DC,East,Bhubaneswar,India,MGR0015,P00175,Ambient,22975,148693,101743,68.42,49,26,9,14.95,19,408,Morning,Active,2025-07-07,86.61,30,No,2025-06-29
DC0030,Distribution Center 30,Cross-Dock Center,Central,Nagpur,India,MGR0003,P00118,Ambient,13166,69039,45631,66.09,21,82,0,21.37,11,371,Morning,Active,2025-07-07,91.36,27,No,2025-06-29
DC0001,Distribution Center 01,Cross-Dock Center,North,Delhi,India,MGR0006,P00080,Hazardous,7729,33591,30304,90.21,8,75,5,4.37,48,40,Evening,Active,2025-07-08,92.63,16,No,2025-06-23
DC0002,Distribution Center 02,Regional DC,South,Chennai,India,MGR0065,P00022,Ambient,20859,68145,65682,96.39,20,53,172,11.41,21,111,Morning,Active,2025-07-08,99.28,8,No,2025-07-04
DC0003,Distribution Center 03,Cold Storage DC,East,Kolkata,India,MGR0064,P00219,Ambient,7507,40923,29333,71.68,37,72,173,10.88,48,383,Evening,Active,2025-07-08,90.64,41,No,2025-06-26
DC0005,Distribution Center 05,Cold Storage DC,Central,Bhopal,India,MGR0065,P00208,Ambient,738,47705,43643,91.49,19,17,217,2.84,29,308,Evening,Temporarily Closed,2025-07-08,91.53,45,No,2025-06-27
DC0011,Distribution Center 11,Cross-Dock Center,North,Jaipur,India,MGR0072,P00116,Cold,13157,139616,105315,75.43,68,97,378,11.88,24,31,Night,Maintenance,2025-07-08,89.23,43,No,2025-06-20
DC0013,Distribution Center 13,Cross-Dock Center,East,Guwahati,India,MGR0016,P00073,Ambient,17511,121601,70810,58.23,57,67,311,2.46,34,450,Night,Maintenance,2025-07-08,96.2,47,No,2025-06-26
DC0014,Distribution Center 14,Cold Storage DC,West,Ahmedabad,India,MGR0024,P00029,Ambient,9396,95355,65512,68.7,59,44,267,5.62,9,391,Morning,Active,2025-07-08,91.98,28,No,2025-06-11
DC0018,Distribution Center 18,Cold Storage DC,East,Patna,India,MGR0054,P00074,Ambient,10985,120477,47091,39.09,13,96,373,9.77,26,176,Night,Maintenance,2025-07-08,89.16,46,No,2025-06-11
DC0024,Distribution Center 24,Cold Storage DC,West,Mumbai,India,MGR0042,P00142,Ambient,19354,86465,70609,81.66,32,13,244,2.36,10,162,Night,Active,2025-07-08,91.65,7,No,2025-06-22
DC0024,Distribution Center 24,Regional DC,West,Mumbai,India,MGR0015,P00164,Ambient,3353,149695,89754,59.96,79,89,8,18.17,29,357,Morning,Maintenance,2025-07-08,85.53,30,No,2025-06-09
DC0028,Distribution Center 28,Cold Storage DC,East,Bhubaneswar,India,MGR0056,P00030,Ambient,23823,86452,22558,26.09,79,22,161,19.94,15,60,Morning,Active,2025-07-08,76.76,32,No,2025-06-16
DC0001,Distribution Center 01,Fulfillment Center,North,Delhi,India,MGR0009,P00247,Ambient,5406,113299,108579,95.83,66,52,431,1.65,11,445,Night,Temporarily Closed,2025-07-09,75.73,37,No,2025-06-09
DC0004,Distribution Center 04,Cold Storage DC,West,Mumbai,India,MGR0066,P00066,Ambient,19206,52971,23458,44.28,12,94,273,5.99,13,255,Night,Temporarily Closed,2025-07-09,94.59,34,No,2025-06-20
DC0004,Distribution Center 04,Regional DC,West,Mumbai,India,MGR0058,P00214,Hazardous,15499,123101,40856,33.19,52,8,332,14.35,18,314,Night,Temporarily Closed,2025-07-09,85.81,27,No,2025-07-05
DC0005,Distribution Center 05,Cross-Dock Center,Central,Bhopal,India,MGR0087,P00220,Cold,12264,46135,32231,69.86,51,26,381,7.27,31,74,Evening,Temporarily Closed,2025-07-09,73.04,36,No,2025-06-17
DC0009,Distribution Center 09,Cross-Dock Center,West,Pune,India,MGR0087,P00032,Ambient,16423,76712,23154,30.18,16,24,435,14.95,46,168,Night,Active,2025-07-09,96.55,27,No,2025-07-02
DC0020,Distribution Center 20,Cold Storage DC,Central,Raipur,India,MGR0041,P00235,Cold,23085,144134,112734,78.21,69,43,442,18.5,38,428,Morning,Active,2025-07-09,88.39,8,No,2025-06-10
DC0023,Distribution Center 23,Cold Storage DC,East,Kolkata,India,MGR0071,P00170,Hazardous,20584,83247,22365,26.87,54,17,205,7.74,28,494,Evening,Active,2025-07-09,99.45,46,No,2025-06-12
DC0024,Distribution Center 24,Cross-Dock Center,West,Mumbai,India,MGR0066,P00137,Ambient,5173,106011,30731,28.99,73,53,162,18.16,29,411,Night,Active,2025-07-09,77.96,26,No,2025-06-19
DC0030,Distribution Center 30,Cross-Dock Center,Central,Nagpur,India,MGR0025,P00184,Ambient,20057,34255,18114,52.88,12,95,200,19.54,45,412,Morning,Temporarily Closed,2025-07-09,95.32,15,No,2025-06-25
DC0004,Distribution Center 04,Fulfillment Center,West,Mumbai,India,MGR0095,P00169,Ambient,19605,104036,66517,63.94,44,60,111,22.54,30,271,Morning,Active,2025-07-10,82.06,37,No,2025-07-08
DC0005,Distribution Center 05,Fulfillment Center,Central,Bhopal,India,MGR0008,P00081,Ambient,23809,67515,46738,69.23,41,39,462,21.25,28,307,Night,Temporarily Closed,2025-07-10,73.41,26,No,2025-06-30
DC0008,Distribution Center 08,Cross-Dock Center,East,Bhubaneswar,India,MGR0089,P00109,Frozen,8921,120832,84091,69.59,42,43,119,8.64,11,118,Evening,Maintenance,2025-07-10,78.49,46,No,2025-07-10
DC0011,Distribution Center 11,Fulfillment Center,North,Jaipur,India,MGR0048,P00102,Ambient,11169,64156,26915,41.95,11,55,440,14.49,30,38,Evening,Active,2025-07-10,75.67,0,No,2025-07-06
DC0013,Distribution Center 13,Cross-Dock Center,East,Guwahati,India,MGR0084,P00056,Ambient,11027,48615,28509,58.64,18,45,237,14.19,9,21,Morning,Maintenance,2025-07-10,72.35,45,No,2025-06-22
DC0014,Distribution Center 14,Fulfillment Center,West,Ahmedabad,India,MGR0046,P00157,Ambient,10186,68297,56584,82.85,73,45,133,9.4,26,83,Morning,Temporarily Closed,2025-07-10,87.67,11,No,2025-06-28
DC0014,Distribution Center 14,Cold Storage DC,West,Ahmedabad,India,MGR0100,P00208,Ambient,22398,139499,131499,94.27,11,41,307,4.82,10,77,Night,Active,2025-07-10,99.34,42,No,2025-06-19
DC0015,Distribution Center 15,Cold Storage DC,Central,Indore,India,MGR0003,P00002,Ambient,23366,28433,23591,82.97,75,56,328,22.72,47,223,Morning,Temporarily Closed,2025-07-10,83.06,45,No,2025-06-19
DC0016,Distribution Center 16,Regional DC,North,Lucknow,India,MGR0081,P00015,Ambient,2434,135543,62258,45.93,46,65,447,14.96,12,374,Night,Active,2025-07-10,76.55,37,No,2025-07-07
DC0023,Distribution Center 23,Cold Storage DC,East,Kolkata,India,MGR0088,P00056,Frozen,10056,54460,16694,30.65,3,64,437,19.02,15,181,Evening,Temporarily Closed,2025-07-10,88.34,39,No,2025-06-16
DC0024,Distribution Center 24,Regional DC,West,Mumbai,India,MGR0089,P00051,Hazardous,393,109668,95948,87.49,39,57,121,23.89,15,349,Night,Active,2025-07-10,97.84,32,Yes,2025-06-14
DC0030,Distribution Center 30,Regional DC,Central,Nagpur,India,MGR0031,P00125,Ambient,2966,44512,25016,56.2,4,42,475,2.44,43,345,Morning,Maintenance,2025-07-10,75.23,25,No,2025-06-30
DC0003,Distribution Center 03,Cross-Dock Center,East,Kolkata,India,MGR0035,P00110,Ambient,22833,146746,74552,50.8,56,67,438,12.36,43,189,Morning,Temporarily Closed,2025-07-11,90.94,28,No,2025-06-26
DC0006,Distribution Center 06,Regional DC,North,Chandigarh,India,MGR0069,P00230,Ambient,11649,104433,80941,77.51,64,46,7,10.43,7,484,Evening,Active,2025-07-11,79.53,28,No,2025-06-25
DC0009,Distribution Center 09,Cold Storage DC,West,Pune,India,MGR0029,P00231,Frozen,9096,109240,90360,82.72,20,80,439,8.87,33,412,Morning,Active,2025-07-11,84.45,36,No,2025-07-09
DC0010,Distribution Center 10,Cross-Dock Center,Central,Nagpur,India,MGR0019,P00249,Ambient,11012,115385,43590,37.78,38,78,477,4.55,41,35,Evening,Temporarily Closed,2025-07-11,75.68,28,No,2025-06-27
DC0029,Distribution Center 29,Fulfillment Center,West,Pune,India,MGR0057,P00241,Ambient,18133,52329,27710,52.95,9,49,316,7.08,49,168,Evening,Active,2025-07-11,81.84,2,No,2025-06-17
DC0030,Distribution Center 30,Fulfillment Center,Central,Nagpur,India,MGR0081,P00172,Ambient,21465,46763,44111,94.33,52,79,81,7.82,8,453,Morning,Active,2025-07-11,98.32,21,No,2025-06-13
DC0003,Distribution Center 03,Cold Storage DC,East,Kolkata,India,MGR0069,P00110,Cold,18888,84702,35438,41.84,47,99,189,15.81,32,40,Evening,Active,2025-07-12,83.83,33,No,2025-07-02
DC0004,Distribution Center 04,Cold Storage DC,West,Mumbai,India,MGR0029,P00043,Ambient,11027,81532,47112,57.78,65,60,499,8.03,42,375,Morning,Active,2025-07-12,76.88,18,No,2025-07-10
DC0004,Distribution Center 04,Cold Storage DC,West,Mumbai,India,MGR0006,P00084,Ambient,23890,117742,114770,97.48,47,16,278,12.56,49,120,Morning,Active,2025-07-12,86.72,1,No,2025-06-17
DC0010,Distribution Center 10,Fulfillment Center,Central,Nagpur,India,MGR0001,P00093,Ambient,15915,138274,130543,94.41,21,23,490,6.12,27,325,Evening,Maintenance,2025-07-12,91.25,19,No,2025-06-13
DC0011,Distribution Center 11,Regional DC,North,Jaipur,India,MGR0042,P00197,Cold,23784,98105,55811,56.89,28,44,85,23.18,41,191,Night,Active,2025-07-12,84.55,40,No,2025-06-15
DC0013,Distribution Center 13,Regional DC,East,Guwahati,India,MGR0095,P00013,Cold,20490,102457,51259,50.03,34,0,474,13.32,37,361,Evening,Maintenance,2025-07-12,92.87,46,No,2025-06-12
DC0014,Distribution Center 14,Cold Storage DC,West,Ahmedabad,India,MGR0083,P00235,Ambient,13989,108083,59194,54.77,52,61,409,11.89,46,83,Evening,Active,2025-07-12,76.2,1,No,2025-07-08
DC0019,Distribution Center 19,Fulfillment Center,West,Surat,India,MGR0012,P00160,Ambient,5849,135787,47581,35.04,13,86,176,10.62,34,490,Morning,Temporarily Closed,2025-07-12,78.25,1,No,2025-06-14
DC0022,Distribution Center 22,Fulfillment Center,South,Chennai,India,MGR0096,P00238,Ambient,7380,73986,40340,54.52,17,87,157,7.41,17,313,Night,Maintenance,2025-07-12,98.08,15,No,2025-06-23
DC0025,Distribution Center 25,Fulfillment Center,Central,Bhopal,India,MGR0004,P00202,Ambient,20920,68360,37226,54.46,37,3,1,23.62,33,439,Evening,Active,2025-07-12,88.8,6,No,2025-06-24
DC0028,Distribution Center 28,Regional DC,East,Bhubaneswar,India,MGR0096,P00137,Frozen,12759,105903,72474,68.43,34,80,52,19.25,9,343,Morning,Active,2025-07-12,74.52,22,No,2025-06-29
DC0006,Distribution Center 06,Cold Storage DC,North,Chandigarh,India,MGR0016,P00068,Ambient,3017,117227,38642,32.96,22,61,345,17.26,25,131,Morning,Active,2025-07-13,73.53,21,No,2025-07-01
DC0007,Distribution Center 07,Fulfillment Center,South,Bengaluru,India,MGR0056,P00140,Hazardous,13858,124520,47434,38.09,49,54,4,13.68,25,275,Morning,Active,2025-07-13,97.37,4,No,2025-07-02
DC0008,Distribution Center 08,Cold Storage DC,East,Bhubaneswar,India,MGR0047,P00153,Ambient,15685,108541,50343,46.38,78,23,119,12.75,12,381,Evening,Active,2025-07-13,80.98,3,No,2025-06-18
DC0009,Distribution Center 09,Cold Storage DC,West,Pune,India,MGR0047,P00161,Cold,22625,90836,51637,56.85,59,59,111,7.3,49,441,Night,Maintenance,2025-07-13,80.58,4,No,2025-06-24
DC0010,Distribution Center 10,Cross-Dock Center,Central,Nagpur,India,MGR0016,P00244,Hazardous,20850,57246,22957,40.1,77,26,494,9.68,7,157,Morning,Active,2025-07-13,79.39,26,No,2025-06-17
